published_date,topic,source,region,title,url,full_text
12-06-2026,Iran Israel war,New Age,World,Iran says Hormuz completely closed,https://www.newagebd.net/post/middle-east/302427/iran-says-hormuz-completely-closed,"Iran's new body overseeing the Strait of Hormuz on Thursday confirmed a complete closure order for the strategic waterway until further notice, after the Revolutionary Guards announced the move overnight. 'Due to the tensions caused by the aggression of the American forces in the region and the announcement made last night by the Iranian armed forces, the Strait of Hormuz will be closed until further notice,' the Persian Gulf Strait Authority said in a post on X. 'Applicants who have been granted a transit permit are asked to be patient and wait for instructions from the PGSA.' US president Donald Trump vowed fresh attacks against Iran on Thursday, saying American forces would also soon seize the country's key oil infrastructure after the two sides exchanged strikes overnight. His threat came after Iran warned the shaky ceasefire in their three-month war was 'practically meaningless' following the latest strikes by the United States, which saw Tehran respond with attacks around the region. The war, which began on February 28 with a wave of US-Israeli strikes on Iran, was paused by the April truce, but efforts to hammer out a permanent end to the fighting have stalled and sporadic exchanges of fire have put the ceasefire under repeated strain. The US military will hit Iran 'VERY HARD TONIGHT,' Trump said in a Truth Social post on Thursday. 'At some point in the not too distant future, we will be taking Kharg Island, and other oil infrastructure points, and assume total control of their Oil and Gas Markets, much like we have with Venezuela,' he added. In separate comments to Fox News, he said he would 'rather not' hit Iranian civilian infrastructure like power plants, as previously threatened, 'because once you do that, the people suffer'. In a second straight day of tit-for-tat attacks, Washington hit surveillance, communications and air defence facilities, US Central Command said, while Iran's Revolutionary Guards announced a 'punitive operation' targeting a US base in Jordan and Gulf states reported incoming fire. Mediators Pakistan and Qatar suggested backchannel efforts to negotiate an end to the war were on-going in spite of the flare-up, though Islamabad cautioned it was 'hard to be an optimist' in light of the escalation. The strikes took place while a Qatari delegation was in Tehran for talks, with a diplomatic source saying the discussions lasted into the early hours of the morning and were 'conducted in coordination with the United States'. Trump, who has repeatedly maintained negotiations with Tehran were close to a deal, had said on Wednesday that Iran keeps 'playing us for suckers' and will now 'have to pay the price'. Hours after those comments, CENTCOM said US forces began strikes early Thursday in Iran, later adding it had completed its attacks. Iranian media reported explosions across the south, with at least three people wounded in Tehran province. The renewed hostilities came as Pentagon chief Pete Hegseth said that if Trump required it, 'we'll negotiate with bombs'. Iran's foreign ministry said 'the illegal and criminal attacks perpetrated by the United States in recent hours not only constitute a flagrant violation... but also render the ceasefire practically meaningless'. But a foreign ministry spokesman for mediator Pakistan, which hosted an initial round of talks between the warring parties, said it had not 'lost hope' in a negotiated resolution. Still, said Tahir Andrabi, 'It is hard to be an optimist in the new exchange of hostilities.' Turkey and Saudi Arabia, which also came under Iranian attack during the war, called for de-escalation, with Riyadh 'urging all parties to prioritise wisdom' by resuming peace talks. China, the biggest buyer of Iranian oil, likewise called for more negotiations on Thursday, with a foreign ministry spokesperson urging the warring parties 'to immediately cease military operations... (and) respond to the mediation efforts'. Tehran's ally Russia echoed the sentiment, with Kremlin spokesman Dmitry Peskov saying the escalation risked more 'negative consequences for the situation in the region and the global economy'. Majid, a 35-year-old pharmacist in Tehran, said he was 'deeply worried' by the attacks and their knock-on effects on daily life for Iranians already facing economic hardship. 'I am absolutely not optimistic about the agreement being finalised, because the gap between the two countries is too wide,' he said, blaming the lack of progress on Israel — which also traded fire with Iran in recent days — as well as hardliners at home. Iran has renewed its warnings over the Strait of Hormuz, a vital waterway for oil and gas transport which it has essentially closed since early in the war, roiling global energy markets. Iran's new body overseeing the strait on Thursday confirmed it 'will be closed until further notice'. Majid Mousavi, the head of the Iranian Guards' aerospace force, had promised to 'make the region hell' for Tehran's enemies over their conduct in the waterway. On Wednesday, three Indian sailors on a commercial vessel were killed when the United States attacked the ship off the coast of Oman, New Delhi said Thursday, summoning a US diplomat to lodge a protest. The Iranian navy said it had also hit two ships trying to sail through the strait, state television IRIB and the Mehr agency reported. On Thursday, CENTCOM said it had disabled another tanker, the Jalveer, for allegedly attempting to evade a US counter-blockade of Iranian ports. The Indian embassy in Oman said on X that the crew of the ship were being evacuated by the Omani navy, without specifying their nationality."
11-06-2026,Iran Israel war,New Age,World,"Iran, US peace hopes fade amid clashes",https://www.newagebd.net/post/middle-east/302288/iran-us-peace-hopes-fade-amid-clashes,"Iran attacked US bases in Jordan and Bahrain on Wednesday, the latest salvo in tit-for-tat strikes with the United States after the downing of a US helicopter over the Strait of Hormuz. The worst bout of fighting between Washington and Tehran since their April 8 ceasefire has cast further doubt on US president Donald Trump's earlier claim that negotiations were in their 'final throes' before reaching an enduring settlement to end the Middle East war. Trump accused Iran on Wednesday of taking too long to negotiate a peace deal and warned it would 'have to pay the price', as the head of the United Nations cautioned against a return to all-out war. 'Iran is all talk and no action,' he said on Wednesday. 'They've taken too long to negotiate a deal that would have been great for them, now they will have to pay the price!!!' The fresh Iranian strikes came after the United States carried out its own attacks on the Islamic republic in response to Tehran shooting down an American helicopter. Iranian forces fired 'long-range missiles' and 'targeted and destroyed four major targets' in Jordan, including F35 fighter nests at an air base and the US command centre in Al-Azraq, the country's Revolutionary Guards said in a statement quoted by state-run IRNA news agency early on Wednesday. Jordan's military said it shot down five missiles from Iran, with no casualties or material damage. The hostilities extended to other countries in the Middle East, with air raid sirens sounding in Bahrain after the Guards said they had struck another US base there. The Kuwaiti military said its air defences were engaging 'hostile aerial targets', without immediately mentioning the aggressor, though Iran has recently carried out deadly attacks on the US ally. The incidents came after the US military said it had 'completed' what Trump portrayed as a retaliatory assault on Iran over the downing of an Apache attack helicopter. US Central Command, which oversees American forces in the Middle East, said on X that it had 'struck Iranian air defence, ground control stations, and surveillance radar sites near the Strait of Hormuz with precision munitions from US Air Force and Navy fighter jets'. Iranian foreign minister Abbas Araghchi had earlier threatened payback, saying on X: 'The US has opted to test our determination. Our Powerful Armed Forces will leave no attack or threat unanswered.' During the US strikes, Iranian media reported at least two series of explosions along Iran's southern coast near the Strait of Hormuz. Digital news outlet Axios reported that US forces had attacked several Iranian air defence systems and radar systems around the strait. Hours earlier, Trump had said talks to end the three-month-long war were in their final stages — a claim he has made repeatedly in the past few weeks. Asked whether it would be matter of days or weeks, the US leader said it would take 'two or three days'. But after the downing of the helicopter on Monday, Trump said in a telephone interview with ABC News that the United States was responding 'in a strong manner'. 'And I believe the response should be very strong, very powerful, and that's what this one is,' he said. The shaky ceasefire between Washington and Tehran already faced a serious test over the weekend when Iran and Israel briefly resumed their attacks, before later announcing a halt. Iran has insisted any deal to end the war must include a truce in Lebanon, which was drawn into the conflict when Iran-backed Hezbollah militants within its borders fired rockets at Israel on March 2. Israel responded with an extensive campaign of airstrikes and a ground invasion that has killed more than 3,600 people. Exchanges of fire with Hezbollah have not stopped despite a nominal truce. Lebanese officials said 11 people were killed in airstrikes on the southern city of Tyre on Tuesday. The Israeli military also warned the entire city to evacuate. An AFP correspondent saw residents of Tyre, including from the Christian quarter, fleeing and heavy traffic heading north after the Israeli warning. Another correspondent in the coastal city of Sidon, further north, saw displaced people arriving from Tyre, some with belongings strapped to the roofs of their cars. The renewed fighting has also overshadowed efforts to reopen the Strait of Hormuz, the critical waterway for global fuel supplies that Iran has virtually blockaded since the start of the war. Crude prices jumped one per cent on Wednesday amid dimming prospects of a deal to reopen the strait, having fallen as much as five per cent at one point the previous day on optimism an agreement would be reached. On Tuesday, Araghchi urged foreign forces to leave the strait and surrounding areas, warning that they faced a risk of being caught in the crossfire if they remained. 'The Strait of Hormuz is NOT international waters but shared between Iran and Oman,' Araghchi said. 'Foreign forces in proximity to our territory are at constant risk... (the) best solution is for them to leave,' he said. The Apache helicopter is the second crewed aircraft that Washington has confirmed was shot down by Iran during the war, following the loss of an F-15 fighter plane in April. CENTCOM said the two crew members were rescued after the helicopter went down near the coast of Oman."
11-06-2026,Iran Israel war,New Age,World,"Pakistan engaged in US-Iran mediation, says ministry",https://www.newagebd.net/post/south-asia/302334/pakistan-engaged-in-us-iran-mediation-says-ministry,"Pakistan's foreign ministry said Thursday the country's leaders were still engaged in mediation efforts to end the US-Iran war despite a surge in conflict, calling for a 'negotiated settlement'. 'It is hard to be an optimist in the new exchange of hostilities. We haven't lost hope, we remain engaged,' foreign ministry spokesman Tahir Andrabi told journalists. 'Let's not draw curtains on Pakistan's mediation approach,' he added. The United States launched fresh attacks against Iran on Thursday, prompting Tehran to retaliate, as US leaders accused their counterparts of dragging out negotiations for a deal to end the three-month war. 'Pakistan remains deeply concerned at the situation in the region marked by recent escalation,' Andrabi said. 'We are of the view that diplomacy and dialogue should be the guiding principles for achieving a negotiated settlement of all contentious issues.' He added that Pakistan's interior minister had returned from a visit to Tehran in recent days, confirming he had given a message and letter from the prime minister to Iranian leadership as part of the mediation efforts."
11-06-2026,Iran Israel war,New Age,World,"US, Iran launch fresh attacks against each other fading hopes for quick peace",https://www.newagebd.net/post/middle-east/302324/us-iran-launch-fresh-attacks-against-each-other-fading-hopes-for-quick-peace,"The United States launched fresh attacks against Iran on Thursday, prompting Tehran to retaliate, as US leaders accused their counterparts of dragging out negotiations for a deal to end the three-month war. The second straight day of tit-for-tat strikes, with Iran targeting US bases across the Gulf, sent oil prices rising again. US president Donald Trump, who had repeatedly said negotiations with Tehran were close to an end, said Wednesday that Iran keeps 'playing us for suckers' and will now 'have to pay the price'. Hours after, US Central Command said American forces began 'additional self-defense strikes' at 5:15pm on Wednesday Washington time — early Thursday in Iran — in response to what it called Tehran's 'unwarranted and continued aggression'. Iranian media reported explosions across the south near the Strait of Hormuz, with explosions heard in Bandar Abbas, Qeshm and Minab, and sources reporting hits by 'enemy projectiles' in Kargan and Sirik. CENTCOM said later that it had 'completed' its strikes on 'Iranian military surveillance capabilities, communication systems, and air defense sites'. American forces 'fired precision munitions on Iranian targets that posed a threat to US forces and international commercial ships transiting regional waters', the command said. The renewed hostilities came as Pentagon chief Pete Hegseth said that if Trump required it, 'we'll negotiate with bombs, and we're very good at it'. In response to the US strikes, Iran's Islamic Revolutionary Guard Corps said they had struck US targets on bases in Kuwait and Bahrain, and that they also 'hit and destroyed Sheikh Isa air bases', according to the state-run IRNA news agency. Iranian media said the army had conducted drone strikes targeting communications antennas and radar facilities belonging to the US Fifth Fleet in Bahrain. An air raid alert was issued in Bahrain and residents were urged to 'head to the nearest safe place', the Gulf nation's interior ministry said on X. Kuwait closed its airspace temporarily as its military said its air defence systems were working to intercept 'hostile aerial targets'. Iran also renewed its warning over the Strait of Hormuz, a vital waterway for oil and gas transport which it has essentially closed. 'Are you making the sacred Strait of Hormuz unsafe?! We will make the region hell for you,' Majid Mousavi, the head of the Iranian Guards' aerospace force, said in a social media post. The Iranian navy said it had hit two ships trying to sail through the Strait of Hormuz, state television IRIB and the Mehr agency reported. Another Iranian news agency, Tasnim, quoted the country's military operational command as saying the crucial waterway was 'completely closed' and that 'any vessel traffic' there would be targeted. CENTCOM denied that, saying 'commercial ships are continuing to transit in and out of the Strait of Hormuz tonight'. Trump said Wednesday that the US military had secretly helped 100 million barrels of oil pass through the contested strait. Earlier, American broadcaster Fox News reported that Trump said Iranian leaders had called him directly in the White House Situation Room as the US bombs began falling. Iran's Guards quickly denied Tehran had done so, the IRNA news agency said. Trump said US forces hit Iran with 49 Tomahawk missiles and some targets were as close as 40 miles from Tehran, Fox News said. Its reporter Trey Yingst, who spoke to Trump, quoted the president as saying that if Iran did not accept US terms for ending the war, 'We'll bomb the S out of them tomorrow night'. It was the second straight day of US attacks, following tit-for-tat strikes this week partly in response to the Iranian downing of an American helicopter. The fresh salvos followed Trump's complaint that Tehran's negotiators were taking too long, having suggested earlier this week that an accord was days away. 'We hit them hard yesterday. We're going to hit them again hard today,' Trump told reporters on Wednesday morning. 'We were really close to a deal, but they keep tapping us along.' Hegseth suggested the strikes could extend into a third night, saying they would be 'strong' and 'clear'. The escalation drew international calls for restraint on the eve of the World Cup, which the United States is co-hosting and Iran is participating in. UN chief Antonio Guterres cautioned against a return to 'full war'. Iran's UN ambassador Amir Saeid Iravani, meanwhile, rejected Trump's threat, saying 'no sustainable deal can be reached through threats, intimidation, or the use of force'. Still, diplomacy has not collapsed entirely, with Qatari negotiators travelling to Tehran 'to meet with the Iranians in an effort to bridge the remaining gaps', a diplomat with knowledge of the situation said. The war began in February with US-Israeli strikes on Iran, shaking the geopolitical balance in the Middle East and roiling global markets before a ceasefire took effect on April 8. Asian stocks tracked losses in New York, while oil prices jumped as much as two per cent on Thursday, extending similar gains the day before. Iran has also insisted that any deal to end the war must include a truce in Lebanon, drawn into the conflict when Iran-backed Hezbollah fired rockets at Israel on March 2."
11-06-2026,Iran Israel war,New Age,World,Lebanon says Israeli strikes on south kill a dozen,https://www.newagebd.net/post/middle-east/302323/lebanon-says-israeli-strikes-on-south-kill-a-dozen,"Lebanon's health ministry said Israeli airstrikes on the country's south on Wednesday killed 12 people, as Israeli Prime Minister Benjamin Netanyahu urged the Lebanese to join Israel's fight against Hezbollah. The southern border town of Kfarshuba said a municipal councillor and employee had been released, hours after Israel's army said it had 'apprehended' two people who approached its soldiers. Neither Israel nor Hezbollah has observed an April ceasefire in Lebanon, and the latest war has continued despite a conditional truce deal announced last week after Lebanese-Israeli talks in Washington. Lebanon's state-run National News Agency (NNA) reported Israeli strikes on more than 30 locations in southern and eastern Lebanon on Wednesday, including on Tayr Debba and Deir Qanun al-Nahr, and on three towns where Israel's military issued evacuation warnings. It also reported an Israeli drone strike on a vehicle in Sidon, a coastal city far from the border that has been relatively spared major Israeli attacks and which hosts many displaced people. An AFP correspondent in Sidon heard an explosion before seeing a car burning and rescuers pulling two people from the vehicle. Lebanon's health ministry reported nine dead including a woman in the Israeli attack on Tayr Debba and three people killed in Sidon. A medical source had told AFP on condition of anonymity that four people were killed in Deir Qanun al-Nahr, which the health ministry statement did not mention. In a video statement, Netanyahu told the Lebanese people: 'Israel is not at war with you. We are at war with Hezbollah, that has taken your country hostage... We yearn for peace with you, with Lebanon.' 'Seize your future. Join Israel. Build safety and prosperity for all of our children. And once Hezbollah is dismantled, the possibilities are endless.' Hezbollah drew Lebanon into the Middle East war on March 2 with rocket fire at Israel in support of its backer Iran. The group rejected last week's conditional truce deal, which stipulated a 'complete cessation' of Hezbollah fire but did not mention a halt to Israeli strikes. Its fighters have kept up attacks on Israeli troops who have invaded south Lebanon, including with rockets and drones on Wednesday. Several hundred of its supporters, many brandishing Hezbollah and Iranian flags, rallied on Wednesday evening in Beirut's southern suburbs in support Iran and its allies in the Middle East war, AFP correspondents said. Lebanese authorities say Israeli attacks since March have killed nearly 3,700 people. On the Israeli side, 29 soldiers and one civilian contractor have been killed in Lebanon, according to the military. Iran insists that Lebanon must be part of any agreement to end the wider Middle East war. The Kfarshuba municipality said in a statement on Facebook that town council member Mohammad al-Hajj and employee Ahmad Diab 'were released and returned to the town' on Wednesday evening. The NNA had reported that the pair 'were working to pump water' to the town when an 'Israeli patrol stopped them' and took them to an unknown location. The Israeli military said in a statement to AFP in Jerusalem that it 'identified two suspected individuals who approached the area in which (Israeli) soldiers are operating in southern Lebanon'. 'The soldiers apprehended the suspected individuals, who were transferred to Israeli territory for further questioning.' The municipality had condemned a 'hostile act towards two innocent men who were carrying out a humanitarian service' and said the pair 'had no intention of approaching Israeli forces'. Sunni-majority Kfarshuba is among a few southern villages, most of them Christian, whose residents have chosen to stay throughout the war despite Israeli military orders to evacuate. On Tuesday, the association of Christian border villages in southern Lebanon urged authorities to 'immediately open safe humanitarian and medical corridors to ensure the access of citizens, aid and medical and relief teams to the affected and isolated villages'. It warned that most roads to their villages are now 'cut off or extremely dangerous'."
11-06-2026,Iran Israel war,New Age,World,Christians cannot promote war: pope,https://www.newagebd.net/post/europe/302322/christians-cannot-promote-war-pope,"Pope Leo XIV on Wednesday said Christians could not consider themselves such if they 'promote war' -- a thinly veiled reference to US President Donald Trump's administration. In a homily at Barcelona's Sagrada Familia basilica, Leo also appeared to refer to migration, saying Christians could not 'abandon... those who flee from misery'. 'We cannot believe in Jesus and promote war. We cannot believe in Jesus and kill the innocent,' the pope said in front of thousands of worshippers including Spanish King Felipe VI and his wife Queen Letizia. Leo has labelled 'outdated' the concept of a 'just war' put forward by Washington in the context of the war against Iran initiated by the US and Israel. The Trump administration has repeatedly justified its attack on Iran as a way to prevent the country from developing a nuclear weapons capability. US Vice President JD Vance, a Catholic convert, has used the 'just war' argument and has urged the pope to be 'careful""l' on theological matters. The pope has been a high-profile critic of the Middle East war and has called for a 'respectful welcome' for migrants as well as measures to ease their integration. In April, he condemned Trump's threat to destroy Iran as 'truly unacceptable' and urged Americans to demand that US lawmakers 'work for peace'. Trump slammed the pontiff as 'WEAK on Crime, and terrible for Foreign Policy' -- to which Leo replied that he had a 'moral duty to speak out'. In an interview last month, Trump again criticised the pope, alleging that Leo believed it was 'OK for Iran to have a nuclear weapon'. 'I think he's endangering a lot of Catholics and a lot of people,' Trump said. Asked about the comments, Leo said that the Catholic Church's mission was to 'preach peace' and the Gospel. 'If anyone wishes to criticise me for proclaiming the Gospel, let them do so truthfully,' he told reporters."
11-06-2026,Iran Israel war,New Age,World,Three Indian crew members missing as US says fired on tanker off Oman,https://www.newagebd.net/post/middle-east/302320/three-indian-crew-members-missing-as-us-says-fired-on-tanker-off-oman,"Three Indian crew members were reported missing after a vessel was attacked off Oman, India said on Wednesday, before the US military announced it had fired on a tanker attempting to breach its blockade of Iran. In a statement, the Indian foreign ministry condemned the attack on the vessel, the Settebello, saying: 'Of the 24 Indian crew onboard, 21 Indians have been rescued thus far and three Indians are reportedly missing'. 'Attacks on shipping in the region are deeply worrisome and a direct result of the ongoing conflict in the region. We reiterate our call for immediate de-escalation,' it added. Later, the United States military said one of its warplanes had fired on the tanker in the Gulf of Oman, disabling the vessel as it attempted to transport oil from Iran. US Central Command said in a post on X, identifying the Palau-flagged Settebello, that the 'crew repeatedly failed to comply with directions from American forces'. India summoned Washington's charge d'affaires in New Delhi to lodge a 'strong protest' over the attack, a senior Indian government official told AFP. A critical waterway for global fuel supplies, the Strait of Hormuz in the Gulf has been almost completely blocked since the start of the Middle East war, which began with US-Israeli strikes on Iran in late February. Talks during a fragile ceasefire in place over recent weeks have failed to deliver a deal to reopen the strait. While Iran has blockaded the shipping lane since the war began, the US has also enforced its own competing blockade since April. Earlier, the United Kingdom Maritime Trade Operations agency reported an incident 20 nautical miles northeast of Sohar in Oman, saying the vessel had reported one casualty and two crew members missing. 'Local authorities have reported a tanker has experienced a fire in their engine room and are on the scene assisting with the evacuation of the crew,' it said. British maritime security company Vanguard Tech said the Palau-flagged tanker Settebello had 'transmitted a distress call stating that its engine room had been struck by a missile while operating off Sohar in the Gulf of Oman' and that there was a fire on board. On Monday, Omani authorities airlifted 24 Indian sailors off a tanker on fire off the coast of Oman, south of the capital Muscat, though there was no indication at the time of what sparked the fire."
10-06-2026,Russia Ukraine war,New Age,World,Russian strikes kill three in Ukraine,https://www.newagebd.net/post/europe/302191/russian-strikes-kill-three-in-ukraine,"Russian strikes on Ukraine overnight killed at least three people, including a pregnant woman, Kyiv said Tuesday, hours after president Volodymyr Zelensky held talks with allies in London. Ukraine said Russia was increasing its attacks on civilians as it was 'unable' to achieve Kremlin-set aims in a fifth year of Moscow's invasion. 'At least three people were killed, including a pregnant 22-year-old woman, in Chuguiv,' foreign minister Andriy Sybiga said, referring to a city in the northeastern Kharkiv region. Emergency services published images of a blaze engulfing residential buildings and parked cars. Chuguiv mayor Galyna Minaeiva said the city — southwest of the regional capital Kharkiv — was hit by missiles and Iranian-made Shahed drones. Russian progress on the sprawling front line has halted this year — despite Moscow recruiting up to 30,000 new fighters every month. Both sides have escalated long-range drone strikes. 'Being unable to achieve its goals on the battlefield, Russia increases terror against civilians,' Sybiga said. 'We urge the world to ramp up pressure on the Russian regime and further increase the cost of this terror for the aggressor.' Russian president Vladimir Putin last week rejected Zelensky's proposal for face-to-face talks to end the war. Meeting in London over the weekend, Britain's Keir Starmer, France's Emmanuel Macron and Germany's Friedrich Merz said they supported Kyiv's proposal for 'direct dialogue'. Zelensky told British media he had met with Russian oligarch Roman Abramovich in Kyiv, passing on a message to Putin that 'we will not give you our territory'. The Russian leader has insisted Moscow intends to capture the whole of eastern Ukraine by force, however long it takes. Russia's invasion of Ukraine has turned into Europe's worst conflict since World War II, with thousands of civilians and hundreds of thousands of troops killed."
10-06-2026,Iran Israel war,New Age,World,"Trump accuses Iran of shooting down US helicopter, vows response",https://www.newagebd.net/post/middle-east/302210/trump-accuses-iran-of-shooting-down-us-helicopter-vows-response,"The US president, Donald Trump, vowed on Tuesday to respond after he accused Iran of shooting down a US military helicopter the previous night, hours after he said that negotiations to end the war on Iran were in the final stages. Mohammad Bagher Ghalibaf, Iran's parliament speaker and its chief negotiator in talks with Washington, meanwhile warned the United States on Tuesday against breaking its 'commitments'. The comments came a day after Iran and Israel halted attacks that threatened to reignite the regional war, which was sparked by US and Israeli strikes on Iran on February 28. In a statement, Trump said that he had been informed 'that last night the Iranians shot down one of our highly sophisticated Apache Helicopters while patrolling over the Strait of Hormuz'. While the crew members were uninjured, 'the United States must, of necessity, respond to this attack,' he said. Iran's Ghalibaf also issued a warning on Tuesday. 'We prefer the language of diplomacy, but we speak other languages far more fluently. Break your commitments, and we'll switch to what we speak best. You ride the horse you saddled!' he said on X. The Apache helicopter is the second crewed aircraft that Washington has confirmed was shot down by Iran during the war, following the loss of an F-15 fighter plane in April. The downing and the prospect of a US response pose the latest threat to a shaky ceasefire in place since April 8, as the United States and Iran struggle to negotiate an end to the conflict. Tehran insisted a halt to the war must include a truce in Lebanon, which was drawn into the war when Hezbollah militants fired rockets at Israel on March 2. Israel responded with an extensive campaign of airstrikes and a ground invasion that have killed more than 3,600 people. Exchanges of fire with Iran-backed Hezbollah have not stopped despite an ongoing truce. Iran fired missiles at Israel on Sunday in response to strikes against Lebanon's Hezbollah in the southern suburbs of Beirut, before Israel struck back despite Trump's efforts to dissuade Israeli prime minister Benjamin Netanyahu from doing so. The Israeli leader said of Iran that the 'fire on that front is contained' hours after Tehran said it had stopped its military action. But both sides warned they could resume hostilities, even as Trump indicated diplomatic efforts were progressing. Iran and Israel 'were going back and forth and now they both agreed through me to stop and we're in the final throes of what will be a very, very good deal,' Trump told reporters earlier Tuesday. When asked whether a deal would be a matter of days or weeks, he said it would take 'two or three days'. The conflict has severely disrupted shipping through the Strait of Hormuz, through which about a fifth of global oil usually passes, while Washington has imposed a blockade on Iranian ports. Trump had earlier urged both sides to stop 'shooting' and said that 'final negotiations' towards peace would proceed. In the recent escalation of attacks, Iran fired nearly 30 missiles at Israel, according to the Israeli military, while Israel struck military sites in the Islamic republic. Iranian state media reported on Tuesday that three people including two members of the 'Army Air Defence Force' were killed in Israeli strikes a day earlier. No casualties were reported in Israel following the exchange. Iranian media reported early Tuesday that Tehran's international airport -- closed during the missile exchanges -- had reopened, allowing flights carrying hajj pilgrims from Saudi Arabia to land. Despite Iranian demands, Israel has kept up its attacks on Lebanon, where it is fighting Hezbollah. On Tuesday, Lebanon's health ministry said that an Israeli airstrike on Tyre killed at least eight people, with the Israeli military warning the entire city to evacuate shortly after the strike. Lebanon's state-run National News Agency reported a 'heavy strike' on Tyre, and raids on more than a dozen other locations across the country's south. An AFP correspondent saw residents of Tyre, including from the Christian quarter, fleeing and heavy traffic heading north after the Israeli warning. Last week, Israel's military alleged that Hezbollah members were operating in the Christian quarter and said it would warn people to leave if the group remained there. The heads of the Pakistani and Lebanese armed forces meanwhile agreed to boost cooperation on Tuesday as they met in Pakistan. On another front of the war, Israel's military said early Tuesday it had intercepted an aerial target from Yemen, but reported no casualties."
10-06-2026,Iran Israel war,New Age,World,Amnesty accuses Israel of 'ethnic cleansing' of West Bank Bedouins,https://www.newagebd.net/post/middle-east/302257/amnesty-accuses-israel-of-ethnic-cleansing-of-west-bank-bedouins,"Amnesty International accused Israel on Wednesday of an 'ethnic cleansing' campaign against Bedouin and herding communities in the occupied West Bank, saying the measures aimed to accelerate the annexation of the Palestinian territory. A new report by the rights group found that these rural Palestinian communities were bearing the brunt of Israeli settler violence and forced displacement. 'Israeli authorities are accelerating annexation through a state-driven campaign of ethnic cleansing targeting Palestinian Bedouin and herding communities' of the West Bank, said the report. Amnesty said its research showed that 27 Bedouin and herding communities comprising hundreds of Palestinians were forcibly displaced between 2023 and 2025 or were at risk of displacement in the West Bank's Area C, which encompasses 60 per cent of the territory and is under full Israeli control under the 1990s Oslo agreements. In the report titled 'Erasing anything Palestinian: Israel's ethnic cleansing of West Bank Bedouin and herding communities', Amnesty accused Prime Minister Benjamin Netanyahu's government, one of Israel's most right-wing to date, of catering to the settler movement's religious nationalist agenda. 'It has accelerated settlement expansion and land grabs, increased financial and logistical support to settlements, and it has armed settlers, thereby enabling a brutal state-sanctioned campaign of settler violence,' the report said. In an apparent effort to counter arguments by Israeli officials that settler violence is caused by bad actors in that community, Amnesty pointed to 'explicit calls by Israeli officials for settlement expansion' and 'measures aimed at minimising Palestinian presence in Area C'. The 'ethnic cleansing campaign is state-led, and state-sponsored, not driven by rogue settlers or so-called extremist ministers', the report concluded. Far-right finance minister Bezalel Smotrich, who himself lives in a settlement, is a vocal proponent of annexing the West Bank to Israel and on Tuesday was banned from France for actively promoting the idea. In May 2026, the UN rights office had also decried indications of 'ethnic cleansing' in Gaza and the West Bank. Amnesty pointed to Israel's legal responsibilities as an occupying power in the West Bank, and its violations of international humanitarian law. 'These violations include the war crime of unlawful deportation and transfer and the crime against humanity of deportation or forcible transfer of population,' the report said. Bedouin and herder communities, often isolated and without security services, are particularly vulnerable to the threat of violence or displacement. Since 2023, AFP reporters have witnessed the departure of several Bedouin communities of the West Bank under pressure from settler groups, including the community of Ras Ein al-Auja in early 2026. 'What is happening today is the complete collapse of the community as a result of the settlers' continuous and repeated attacks,' Farhan Jahaleen, a Bedouin from the village, said in January. Amnesty's secretary general Agnes Callamard launched the report in Berlin, saying that Germany and other European countries had 'enabled Israel's policy of ethnic cleansing'. She said that while targeted sanctions against individuals were 'important' symbolically, they have 'no impact on the rate of settlement expansion' or on 'the scale of settlers' violence'. 'The EU in particular, must leverage its influence by expediting the long-overdue suspension of its association agreement with Israel,' Callamard told reporters. Since Netanyahu's government came to power in late 2022, it has approved the creation of 102 settlements in the West Bank, according to settlement watchdog Peace Now. Excluding east Jerusalem, more than 5,00,000 Israelis live in settlements in the West Bank, which Israel has occupied since 1967, among some three million Palestinians. All Israeli settlements are illegal under international law. Some settlers have engaged in arson, vandalism and theft of private property in Palestinian communities, as well as physical assaults and sometimes murder, according to rights groups. The number of such incidents steadily increased after the start of the war in Gaza in 2023, reaching an average of six per day in the West Bank in 2026, according to the UN humanitarian agency OCHA."
